gm,date,tm,home_away,opp,result,r,ra,inn,record,rank,gb,win,loss,save,time,day_night,attendance,c_li,streak,orig_scheduled,year,ymd,game_num,is_double_header,dotw
7,"Monday, Apr 11",BOS,H,NYY,W,8,1,,3-4,4,2.0,Wakefield,Mussina,,2:49,D,33702,1.05,1,,2005,2005-04-11,1,FALSE,Monday
8,"Wednesday, Apr 13",BOS,H,NYY,L,2,5,,3-5,4,2.5,Wright,Schilling,Rivera,3:08,N,35115,1.07,-1,,2005,2005-04-13,1,FALSE,Wednesday
9,"Thursday, Apr 14",BOS,H,NYY,W,8,5,,4-5,3,2.5,Foulke,Gordon,,3:13,N,35251,0.98,1,,2005,2005-04-14,1,FALSE,Thursday
10,"Friday, Apr 15",BOS,H,TBD,W,10,0,,5-5,3,1.5,Wells,Nomo,,2:48,N,35023,1.07,2,,2005,2005-04-15,1,FALSE,Friday
11,"Saturday, Apr 16",BOS,H,TBD,W,6,2,,6-5,3,1.5,Clement,Brazelton,,2:48,N,35106,1.1,3,,2005,2005-04-16,1,FALSE,Saturday
12,"Sunday, Apr 17",BOS,H,TBD,W,3,1,,7-5,3,1.0,Wakefield,Kazmir,Foulke,2:35,D,35232,1.12,4,,2005,2005-04-17,1,FALSE,Sunday
13,"Monday, Apr 18",BOS,H,TOR,W,12,7,,8-5,1,Tied,Schilling,Bush,,3:41,D,35243,1.25,5,,2005,2005-04-18,1,FALSE,Monday
14,"Tuesday, Apr 19",BOS,H,TOR,L,3,4,,8-6,3,1.0,Halladay,Foulke,Batista,2:29,N,35598,1.28,-1,,2005,2005-04-19,1,FALSE,Tuesday
20,"Monday, Apr 25",BOS,H,BAL,L,4,8,,11-9,2,2.0,Chen,Wells,,3:18,N,35003,1.38,-1,,2005,2005-04-25,1,FALSE,Monday
21,"Tuesday, Apr 26",BOS,H,BAL,L,8,11,,11-10,2,3.0,Julio,Foulke,Ryan,4:03,N,35670,1.34,-2,,2005,2005-04-26,1,FALSE,Tuesday
